行 ID,オーダー ID,オーダー日,出荷日,出荷モード,顧客 ID,顧客名,顧客区分,市区町村,都道府県,国/地域,地域,製品 ID,カテゴリ,サブカテゴリ,製品名,売上,数量,割引率,利益
1373,JP-2020-1154470,2020-11-02,2020-11-05,ファースト クラス,成葵-16885,成松 葵,消費者,宇佐市,大分県,日本,九州,家具-椅子-10001195,家具,椅子,"Novimex 肘掛け椅子, 2 つセット",153399.99999999997,5,0.0,58290.0
1374,JP-2021-1125644,2021-12-14,2021-12-17,セカンド クラス,堀剛-17605,堀口 剛,大企業,堺市堺区,大阪府,日本,関西地方,事務用-封筒-10002874,事務用品,封筒,"GlobeWeis 各種封筒, 赤",11224.0,4,0.0,4376.0
1375,JP-2021-1125644,2021-12-14,2021-12-17,セカンド クラス,堀剛-17605,堀口 剛,大企業,堺市堺区,大阪府,日本,関西地方,家電-コピ-10003676,家電,コピー機,"キヤノン 無線ファックス, カラー",101360.0,4,0.0,37496.0
1376,JP-2019-1686960,2019-06-09,2019-06-13,通常配送,花健-15925,花形 健太,消費者,福山市,広島県,日本,中国地方,家電-電話-10000604,家電,電話機,"シスコ 充電器, 青",86852.0,2,0.0,25184.0
1377,JP-2019-1686960,2019-06-09,2019-06-13,通常配送,花健-15925,花形 健太,消費者,福山市,広島県,日本,中国地方,家具-家具-10002902,家具,家具,"Advantus 積み重ねトレイ, 高耐久性",1560.0,1,0.0,436.00000000000006
1378,JP-2019-1686960,2019-06-09,2019-06-13,通常配送,花健-15925,花形 健太,消費者,福山市,広島県,日本,中国地方,家具-家具-10001300,家具,家具,"Deflect-O 積み重ねトレイ, マルチパック",1689.9999999999998,1,0.0,708.0
1379,JP-2019-1686960,2019-06-09,2019-06-13,通常配送,花健-15925,花形 健太,消費者,福山市,広島県,日本,中国地方,家電-付属-10000796,家電,付属品,"メモレックス キーパッド, プログラミング可能",15570.0,5,0.0,3580.0
1380,JP-2019-1686960,2019-06-09,2019-06-13,通常配送,花健-15925,花形 健太,消費者,福山市,広島県,日本,中国地方,事務用-封筒-10004456,事務用品,封筒,"Jiffy 各種封筒, シルバー",13190.000000000002,5,0.0,2370.0
1381,JP-2019-1686960,2019-06-09,2019-06-13,通常配送,花健-15925,花形 健太,消費者,福山市,広島県,日本,中国地方,事務用-紙-10000031,事務用品,紙,"ゼロックス スケジュール帳, リサイクル",6760.0,5,0.0,740.0
1382,JP-2019-1686960,2019-06-09,2019-06-13,通常配送,花健-15925,花形 健太,消費者,福山市,広島県,日本,中国地方,家具-椅子-10001195,家具,椅子,"Novimex 肘掛け椅子, 2 つセット",61359.99999999999,2,0.0,23316.0
1383,JP-2019-1686960,2019-06-09,2019-06-13,通常配送,花健-15925,花形 健太,消費者,福山市,広島県,日本,中国地方,家具-家具-10001355,家具,家具,"Eldon ドア ストッパー, プレミアム",16260.000000000002,5,0.0,3900.0
1384,JP-2019-1686960,2019-06-09,2019-06-13,通常配送,花健-15925,花形 健太,消費者,福山市,広島県,日本,中国地方,家具-椅子-10000847,家具,椅子,"Hon スツール, 黒",64488.000000000015,6,0.0,9024.0
1385,JP-2020-1687805,2020-04-05,2020-04-10,セカンド クラス,大美-13750,大門 美優,大企業,東広島市,広島県,日本,中国地方,事務用-クリ-10000966,事務用品,クリップ,"Advantus ペーパー クリップ, 12 パック",892.0,1,0.0,52.0
1386,JP-2021-1569227,2021-04-05,2021-04-11,通常配送,薗葵-19075,薗田 葵,消費者,長岡市,新潟県,日本,中部地方,事務用-紙-10003090,事務用品,紙,"Green Bar 硫酸紙, リサイクル",6635.999999999998,6,0.0,2652.0
1387,JP-2022-1577394,2022-12-22,2022-12-27,通常配送,辻美-19810,辻上 美優,小規模事業所,東置賜郡川西町,山形県,日本,東北地方,家具-本棚-10000594,家具,本棚,"Dania 棚セット, 白",22916.0,2,0.0,6184.0
1388,JP-2022-1577394,2022-12-22,2022-12-27,通常配送,辻美-19810,辻上 美優,小規模事業所,東置賜郡川西町,山形県,日本,東北地方,家具-テー-10004615,家具,テーブル,"Chromcraft コーヒー テーブル, 白",113097.59999999999,9,0.3,-47705.399999999994
1389,JP-2020-1578857,2020-12-14,2020-12-19,通常配送,円香-11335,円城寺 香,小規模事業所,堺市堺区,大阪府,日本,関西地方,事務用-封筒-10000783,事務用品,封筒,"GlobeWeis 業務用封筒, 赤",2784.0,2,0.0,472.0
1390,JP-2020-1578857,2020-12-14,2020-12-19,通常配送,円香-11335,円城寺 香,小規模事業所,堺市堺区,大阪府,日本,関西地方,事務用-バイ-10002253,事務用品,バインダー,"Avery 穴の補強テープ, クリア",774.0,3,0.0,108.0
1391,JP-2020-1578857,2020-12-14,2020-12-19,通常配送,円香-11335,円城寺 香,小規模事業所,堺市堺区,大阪府,日本,関西地方,家具-家具-10004723,家具,家具,"Tenex フレーム, マルチパック",29344.0,4,0.0,8504.0
1392,JP-2021-1078375,2021-02-20,2021-02-24,通常配送,秋涼-15070,秋庭 涼,消費者,西宮市,兵庫県,日本,関西地方,事務用-画材-10000206,事務用品,画材,"Boston マーカー, 青",1758.0000000000002,1,0.0,562.0
1393,JP-2021-1536690,2021-07-23,2021-07-26,ファースト クラス,若陽-20920,若生 陽子,消費者,加賀郡吉備中央町,岡山県,日本,中国地方,事務用-紙-10003482,事務用品,紙,"Eaton ノート, プレミアム",7088.0,4,0.0,3256.0
1394,JP-2021-1536690,2021-07-23,2021-07-26,ファースト クラス,若陽-20920,若生 陽子,消費者,加賀郡吉備中央町,岡山県,日本,中国地方,家電-付属-10004820,家電,付属品,"ロジクール ルータ, エコノミー",32976.0,2,0.0,5932.0
1395,JP-2021-1536690,2021-07-23,2021-07-26,ファースト クラス,若陽-20920,若生 陽子,消費者,加賀郡吉備中央町,岡山県,日本,中国地方,家電-コピ-10000802,家電,コピー機,"キヤノン 家庭用コピー機, 2 つセット",19032.0,2,0.0,7992.0
1396,JP-2019-1492388,2019-12-08,2019-12-14,通常配送,上和-20830,上畠 和子,消費者,西宮市,兵庫県,日本,関西地方,事務用-バイ-10002730,事務用品,バインダー,"カーディナル とじ機, クリア",9846.000000000004,3,0.0,1476.0
1397,JP-2019-1492388,2019-12-08,2019-12-14,通常配送,上和-20830,上畠 和子,消費者,西宮市,兵庫県,日本,関西地方,家具-椅子-10004094,家具,椅子,"Novimex 肘掛け椅子, 調整可能",30695.999999999996,1,0.0,11050.0
1398,JP-2022-1693580,2022-07-14,2022-07-18,通常配送,三誠-19090,三溝 誠,消費者,伊勢市,三重県,日本,関西地方,事務用-バイ-10004812,事務用品,バインダー,"アコ タブ, クリア",1286.3999999999999,4,0.4,-473.6
1399,JP-2022-1693580,2022-07-14,2022-07-18,通常配送,三誠-19090,三溝 誠,消費者,伊勢市,三重県,日本,関西地方,家電-事務-10001098,家電,事務機器,"コニカ レシート プリンター, 白",33784.8,7,0.4,1122.7999999999956
1400,JP-2020-1046364,2020-04-11,2020-04-15,通常配送,荒剛-21475,荒川 剛,小規模事業所,各務原市,岐阜県,日本,中部地方,事務用-封筒-10002407,事務用品,封筒,"Cameo 茶封筒, リサイクル",13760.0,8,0.0,1088.0
1401,JP-2020-1046364,2020-04-11,2020-04-15,通常配送,荒剛-21475,荒川 剛,小規模事業所,各務原市,岐阜県,日本,中部地方,家具-椅子-10002110,家具,椅子,"Harbour Creations ロッキング チェア, 2 つセット",9955.999999999998,1,0.0,796.0
1402,JP-2020-1046364,2020-04-11,2020-04-15,通常配送,荒剛-21475,荒川 剛,小規模事業所,各務原市,岐阜県,日本,中部地方,事務用-アプ-10002689,事務用品,アプライアンス,"フーバー コンロ, 黒",227160.0,6,0.0,43152.0
1403,JP-2020-1046364,2020-04-11,2020-04-15,通常配送,荒剛-21475,荒川 剛,小規模事業所,各務原市,岐阜県,日本,中部地方,家電-付属-10004924,家電,付属品,"メモレックス キーパッド, エコノミー",21098.0,7,0.0,840.0
1404,JP-2022-1018543,2022-09-18,2022-09-20,ファースト クラス,佐美-17245,佐田 美羽,消費者,池田市,大阪府,日本,関西地方,家具-椅子-10002701,家具,椅子,"Office Star 折り畳み式の椅子, 2 つセット",31320.0,5,0.0,6890.0
1405,JP-2021-1696936,2021-09-26,2021-09-28,セカンド クラス,佐静-20440,佐沢 静香,大企業,鹿角市,秋田県,日本,東北地方,事務用-ラベ-10001565,事務用品,ラベル,"Hon ファイル フォルダ ラベル, 白",1152.0,2,0.0,68.0
1406,JP-2021-1696936,2021-09-26,2021-09-28,セカンド クラス,佐静-20440,佐沢 静香,大企業,鹿角市,秋田県,日本,東北地方,事務用-文房-10001618,事務用品,文房具,"Kleencut はさみ, 長方形",6330.0,5,0.0,1640.0
1407,JP-2021-1696936,2021-09-26,2021-09-28,セカンド クラス,佐静-20440,佐沢 静香,大企業,鹿角市,秋田県,日本,東北地方,家具-本棚-10003563,家具,本棚,"Sauder コーナー シェルフ, 黒",9910.0,1,0.0,3368.0
1408,JP-2020-1699434,2020-12-04,2020-12-08,通常配送,中孝-18085,中吉 孝,消費者,青森市,青森県,日本,東北地方,事務用-保管-10003983,事務用品,保管箱,"Tenex フォルダ, 業務用",3160.0,2,0.0,316.0
1409,JP-2019-1699495,2019-09-30,2019-10-04,通常配送,藤久-13120,藤曲 久美子,大企業,春日市,福岡県,日本,九州,家具-家具-10004589,家具,家具,"Deflect-O 積み重ねトレイ, プレミアム",4782.0,3,0.0,2148.0
1410,JP-2022-1700437,2022-10-14,2022-10-19,通常配送,金四-19630,金尾 四郎,大企業,柏崎市,新潟県,日本,中部地方,事務用-文房-10002554,事務用品,文房具,"Stiletto 大型のはさみ, 長方形",5972.000000000001,2,0.0,1432.0
1411,JP-2022-1700437,2022-10-14,2022-10-19,通常配送,金四-19630,金尾 四郎,大企業,柏崎市,新潟県,日本,中部地方,事務用-クリ-10001349,事務用品,クリップ,"OIC 押しピン, 各種サイズ",3296.0,4,0.0,160.0
1412,JP-2022-1700437,2022-10-14,2022-10-19,通常配送,金四-19630,金尾 四郎,大企業,柏崎市,新潟県,日本,中部地方,事務用-封筒-10003324,事務用品,封筒,"GlobeWeis 社内用封筒, 50 枚セット",22316.0,7,0.0,3569.9999999999995
1413,JP-2022-1700437,2022-10-14,2022-10-19,通常配送,金四-19630,金尾 四郎,大企業,柏崎市,新潟県,日本,中部地方,事務用-バイ-10004069,事務用品,バインダー,"Avery バインダー カバー, クリア",1404.0,2,0.0,40.0
1414,JP-2022-1703426,2022-06-06,2022-06-06,即日配送,松霞-19180,松坂 霞,小規模事業所,西尾市,愛知県,日本,中部地方,事務用-アプ-10001628,事務用品,アプライアンス,"キッチンエイド コーヒーミル, シルバー",9496.0,2,0.0,2468.0
1415,JP-2022-1703426,2022-06-06,2022-06-06,即日配送,松霞-19180,松坂 霞,小規模事業所,西尾市,愛知県,日本,中部地方,事務用-紙-10002068,事務用品,紙,"Eaton ノート, 12 パック",8192.0,4,0.0,80.0
1416,JP-2021-1665333,2021-12-31,2022-01-05,通常配送,大明-16045,大羽 明美,小規模事業所,茂原市,千葉県,日本,関東地方,家電-電話-10001588,家電,電話機,"モトローラ スマートフォン, フル サイズ",20971.2,4,0.4,-13640.800000000001
1417,JP-2021-1665333,2021-12-31,2022-01-05,通常配送,大明-16045,大羽 明美,小規模事業所,茂原市,千葉県,日本,関東地方,事務用-画材-10000705,事務用品,画材,"BIC 鉛筆削り, 大容量パック",3513.6000000000004,3,0.4,231.5999999999999
1418,JP-2021-1665333,2021-12-31,2022-01-05,通常配送,大明-16045,大羽 明美,小規模事業所,茂原市,千葉県,日本,関東地方,家電-コピ-10003283,家電,コピー機,"HP ファックス, デジタル",23966.399999999998,2,0.4,1194.3999999999996
1419,JP-2021-1706631,2021-08-30,2021-09-03,通常配送,須美-21925,須佐 美羽,消費者,茨木市,大阪府,日本,関西地方,事務用-ラベ-10003190,事務用品,ラベル,"Harbour Creations 法的提出用ラベル, 調整可能",2950.0,5,0.0,230.0
1420,JP-2021-1706631,2021-08-30,2021-09-03,通常配送,須美-21925,須佐 美羽,消費者,茨木市,大阪府,日本,関西地方,家具-椅子-10001010,家具,椅子,"Novimex ビーチ チェア, 2 つセット",9642.0,3,0.0,3084.0
1421,JP-2020-1707779,2020-05-10,2020-05-13,セカンド クラス,織夏-15910,織田 夏希,消費者,八代市,熊本県,日本,九州,事務用-保管-10004399,事務用品,保管箱,"Rogers ボックス, 業務用",3260.0,2,0.0,1464.0
1422,JP-2021-1708256,2021-04-26,2021-04-28,セカンド クラス,荒大-13510,荒畑 大翔,大企業,東大阪市,大阪府,日本,関西地方,家電-電話-10003060,家電,電話機,"アップル 信号ブースター, 大容量パック",27348.000000000007,3,0.0,12576.0
1423,JP-2021-1163669,2021-08-28,2021-08-30,セカンド クラス,綿直-10345,綿引 直子,大企業,大牟田市,福岡県,日本,九州,事務用-文房-10004032,事務用品,文房具,"Kleencut 定規, 長方形",4788.0,7,0.0,952.0
1424,JP-2021-1163669,2021-08-28,2021-08-30,セカンド クラス,綿直-10345,綿引 直子,大企業,大牟田市,福岡県,日本,九州,事務用-封筒-10003379,事務用品,封筒,"Ames 業務用封筒, 50 枚セット",4880.000000000001,5,0.0,1900.0
1425,JP-2021-1163669,2021-08-28,2021-08-30,セカンド クラス,綿直-10345,綿引 直子,大企業,大牟田市,福岡県,日本,九州,家電-コピ-10004185,家電,コピー機,"キヤノン インク, デジタル",48930.0,5,0.0,7820.0
1426,JP-2021-1711320,2021-05-31,2021-05-31,即日配送,脇千-13810,脇本 千代,大企業,猿島郡境町,茨城県,日本,関東地方,家具-椅子-10002765,家具,椅子,"Novimex 椅子用マット, 2 つセット",11718.0,3,0.0,347.99999999999994
1427,JP-2020-1430491,2020-12-28,2021-01-03,通常配送,矢一-18220,矢田 一樹,消費者,八戸市,青森県,日本,東北地方,家電-コピ-10003185,家電,コピー機,"シャープ 無線ファックス, デジタル",213336.0,9,0.0,53334.0
1428,JP-2020-1430491,2020-12-28,2021-01-03,通常配送,矢一-18220,矢田 一樹,消費者,八戸市,青森県,日本,東北地方,事務用-バイ-10004080,事務用品,バインダー,"カーディナル バインダー カバー, 高耐久性",1800.0,2,0.0,520.0
1429,JP-2020-1326132,2020-05-11,2020-05-17,通常配送,長桐-11920,長光 桐子,消費者,豊田市,愛知県,日本,中部地方,事務用-保管-10001461,事務用品,保管箱,"Smead ロッカー, フル サイズ",66149.99999999999,5,0.0,425.0
1430,JP-2022-1712528,2022-08-19,2022-08-23,セカンド クラス,国延-13000,国久 延,消費者,藤沢市,神奈川県,日本,関東地方,家電-電話-10003366,家電,電話機,"サムスン オフィス用電話機, 各種サイズ",63532.0,14,0.0,1190.0
1431,JP-2021-1712911,2021-11-10,2021-11-12,ファースト クラス,潮颯-15175,潮田 颯太,小規模事業所,安城市,愛知県,日本,中部地方,事務用-クリ-10002320,事務用品,クリップ,"Advantus クランプ, 12 パック",2496.0,2,0.0,124.0
1432,JP-2021-1712911,2021-11-10,2021-11-12,ファースト クラス,潮颯-15175,潮田 颯太,小規模事業所,安城市,愛知県,日本,中部地方,事務用-封筒-10000617,事務用品,封筒,"Jiffy クラフト封筒, 50 枚セット",1136.0,2,0.0,180.0
1433,JP-2021-1712911,2021-11-10,2021-11-12,ファースト クラス,潮颯-15175,潮田 颯太,小規模事業所,安城市,愛知県,日本,中部地方,事務用-画材-10000732,事務用品,画材,"Boston ペン, メタル",2167.2,3,0.3,493.20000000000005
1434,JP-2021-1712911,2021-11-10,2021-11-12,ファースト クラス,潮颯-15175,潮田 颯太,小規模事業所,安城市,愛知県,日本,中部地方,家電-付属-10001904,家電,付属品,"エナーマックス キーパッド, エコノミー",26754.0,7,0.0,10430.0
1435,JP-2021-1013528,2021-10-22,2021-10-22,即日配送,有結-11155,有元 結菜,消費者,刈谷市,愛知県,日本,中部地方,家電-電話-10001296,家電,電話機,"アップル 信号ブースター, 青",18220.0,2,0.0,7831.999999999999
1436,JP-2021-1013528,2021-10-22,2021-10-22,即日配送,有結-11155,有元 結菜,消費者,刈谷市,愛知県,日本,中部地方,事務用-封筒-10002770,事務用品,封筒,"Kraft 茶封筒, リサイクル",5058.0,3,0.0,1512.0
1437,JP-2020-1031976,2020-12-28,2021-01-02,通常配送,蛯学-17830,蛯原 学,消費者,小樽市,北海道,日本,北海道,事務用-保管-10004463,事務用品,保管箱,"Rogers フォルダ, メタル",2380.7999999999993,2,0.4,-1587.1999999999998
1438,JP-2020-1031976,2020-12-28,2021-01-02,通常配送,蛯学-17830,蛯原 学,消費者,小樽市,北海道,日本,北海道,事務用-保管-10001649,事務用品,保管箱,"Fellowes ボックス, 青",1574.3999999999999,2,0.4,-879.6000000000001
1439,JP-2020-1031976,2020-12-28,2021-01-02,通常配送,蛯学-17830,蛯原 学,消費者,小樽市,北海道,日本,北海道,家電-電話-10004403,家電,電話機,"アップル 充電器, 各種サイズ",51124.799999999996,2,0.4,-33913.200000000004
1440,JP-2019-1609809,2019-09-02,2019-09-07,通常配送,松愛-16405,松枝 愛,小規模事業所,田川郡川崎町,福岡県,日本,九州,事務用-保管-10001886,事務用品,保管箱,"Rogers トレイ, 青",4112.0,1,0.0,85.0
1441,JP-2019-1609809,2019-09-02,2019-09-07,通常配送,松愛-16405,松枝 愛,小規模事業所,田川郡川崎町,福岡県,日本,九州,家電-付属-10003953,家電,付属品,"メモレックス メモリ カード, リサイクル",53375.999999999985,8,0.0,20272.0
1442,JP-2019-1609809,2019-09-02,2019-09-07,通常配送,松愛-16405,松枝 愛,小規模事業所,田川郡川崎町,福岡県,日本,九州,事務用-バイ-10001995,事務用品,バインダー,"ウィルソン・ジョーンズ とじ機, リサイクル",9864.000000000002,3,0.0,2856.0
1443,JP-2021-1267812,2021-10-17,2021-10-18,ファースト クラス,藤三-16000,藤波 三郎,消費者,高槻市,大阪府,日本,関西地方,家電-コピ-10003700,家電,コピー機,"ブラザー インク, デジタル",19592.0,2,0.0,2544.0
1444,JP-2021-1267812,2021-10-17,2021-10-18,ファースト クラス,藤三-16000,藤波 三郎,消費者,高槻市,大阪府,日本,関西地方,家具-本棚-10001526,家具,本棚,"Safco 棚セット, 従来型",26232.0,2,0.0,6556.0
1445,JP-2021-1267812,2021-10-17,2021-10-18,ファースト クラス,藤三-16000,藤波 三郎,消費者,高槻市,大阪府,日本,関西地方,事務用-紙-10003946,事務用品,紙,"エナーマックス 硫酸紙, マルチカラー",6720.0,6,0.0,2616.0000000000005
1446,JP-2020-1056311,2020-03-20,2020-03-23,ファースト クラス,竹哲-19195,竹石 哲也,小規模事業所,三島市,静岡県,日本,中部地方,事務用-封筒-10001943,事務用品,封筒,"Kraft 社内用封筒, 50 枚セット",5630.4,3,0.4,-657.6000000000004
1447,JP-2020-1056311,2020-03-20,2020-03-23,ファースト クラス,竹哲-19195,竹石 哲也,小規模事業所,三島市,静岡県,日本,中部地方,事務用-バイ-10001819,事務用品,バインダー,"Avery 穴あけパンチ, クリア",2186.4,2,0.4,218.39999999999986
1448,JP-2022-1516848,2022-10-27,2022-11-01,通常配送,久剛-15625,久保野 剛,消費者,高槻市,大阪府,日本,関西地方,家具-椅子-10000510,家具,椅子,"Harbour Creations ビーチ チェア, 黒",7892.0,2,0.0,312.0
1449,JP-2022-1516848,2022-10-27,2022-11-01,通常配送,久剛-15625,久保野 剛,消費者,高槻市,大阪府,日本,関西地方,家電-電話-10000962,家電,電話機,"サムスン 充電器, 青",169640.0,4,0.0,16960.0
1450,JP-2022-1516848,2022-10-27,2022-11-01,通常配送,久剛-15625,久保野 剛,消費者,高槻市,大阪府,日本,関西地方,事務用-ラベ-10004279,事務用品,ラベル,"Hon 法的提出用ラベル, 白",2896.0,4,0.0,1064.0
1451,JP-2022-1721014,2022-12-09,2022-12-13,セカンド クラス,新香-11245,新関 香,大企業,大牟田市,福岡県,日本,九州,事務用-保管-10002237,事務用品,保管箱,"Rogers ボックス, メタル",10752.0,7,0.0,1176.0
1452,JP-2020-1721267,2020-07-25,2020-07-28,セカンド クラス,鍬香-11350,鍬田 香,大企業,新宿区,東京都,日本,関東地方,事務用-紙-10002375,事務用品,紙,"エナーマックス メモ用紙, リサイクル",2646.8999999999996,3,0.15,744.9000000000001
1453,JP-2020-1721267,2020-07-25,2020-07-28,セカンド クラス,鍬香-11350,鍬田 香,大企業,新宿区,東京都,日本,関東地方,事務用-封筒-10004283,事務用品,封筒,"Jiffy 茶封筒, 赤",3349.0,2,0.15,709.0
1454,JP-2020-1721267,2020-07-25,2020-07-28,セカンド クラス,鍬香-11350,鍬田 香,大企業,新宿区,東京都,日本,関東地方,家電-コピ-10002776,家電,コピー機,"キヤノン ファックスとコピー機, 2 つセット",32527.799999999996,3,0.15,8035.800000000001
1455,JP-2021-1365061,2021-05-21,2021-05-23,ファースト クラス,堀慶-14260,堀籠 慶子,小規模事業所,高松市,香川県,日本,四国,家具-家具-10003750,家具,家具,"Tenex 積み重ねトレイ, 高耐久性",2374.4,2,0.2,590.4
1456,JP-2021-1365061,2021-05-21,2021-05-23,ファースト クラス,堀慶-14260,堀籠 慶子,小規模事業所,高松市,香川県,日本,四国,事務用-文房-10002241,事務用品,文房具,"Acme 定規, スチール",7518.0,7,0.0,2324.0
1457,JP-2021-1365061,2021-05-21,2021-05-23,ファースト クラス,堀慶-14260,堀籠 慶子,小規模事業所,高松市,香川県,日本,四国,事務用-紙-10003585,事務用品,紙,"Eaton スケジュール帳, マルチカラー",4397.999999999999,3,0.0,1536.0
1458,JP-2021-1365061,2021-05-21,2021-05-23,ファースト クラス,堀慶-14260,堀籠 慶子,小規模事業所,高松市,香川県,日本,四国,事務用-保管-10003545,事務用品,保管箱,"Rogers トレイ, 業務用",8288.0,2,0.0,4144.0
1459,JP-2021-1365061,2021-05-21,2021-05-23,ファースト クラス,堀慶-14260,堀籠 慶子,小規模事業所,高松市,香川県,日本,四国,家電-コピ-10001915,家電,コピー機,"シャープ コピー機, カラー",32111.999999999996,2,0.0,2244.0
1460,JP-2021-1365061,2021-05-21,2021-05-23,ファースト クラス,堀慶-14260,堀籠 慶子,小規模事業所,高松市,香川県,日本,四国,事務用-ラベ-10001002,事務用品,ラベル,"Avery 丸型ラベル, 白",1428.0,3,0.0,42.00000000000001
1461,JP-2021-1727225,2021-05-31,2021-06-06,通常配送,藤久-13120,藤曲 久美子,大企業,茨木市,大阪府,日本,関西地方,家電-電話-10004374,家電,電話機,"シスコ 充電器, 各種サイズ",174464.0,4,0.0,340.0
1462,JP-2021-1727402,2021-12-06,2021-12-11,通常配送,福彩-16990,福西 彩花,大企業,延岡市,宮崎県,日本,九州,事務用-画材-10004778,事務用品,画材,"Stanley 蛍光ペン, 大容量パック",2994.0,3,0.0,504.0
1463,JP-2020-1727431,2020-11-24,2020-11-27,ファースト クラス,真凛-11905,真柄 凛,小規模事業所,一関市,岩手県,日本,東北地方,事務用-封筒-10000565,事務用品,封筒,"Ames 各種封筒, リサイクル",8316.0,6,0.4,-3192.0
1464,JP-2020-1727464,2020-08-10,2020-08-15,通常配送,川一-11995,川崎 一樹,消費者,松山市,愛媛県,日本,四国,家具-家具-10000446,家具,家具,"Tenex 電球, 黒",9086.4,9,0.2,-237.60000000000014
1465,JP-2022-1009485,2022-11-24,2022-11-27,ファースト クラス,水大-20995,水島 大翔,消費者,上田市,長野県,日本,中部地方,家電-電話-10001980,家電,電話機,"シスコ 信号ブースター, フル サイズ",20416.0,2,0.0,170.0
1466,JP-2022-1009485,2022-11-24,2022-11-27,ファースト クラス,水大-20995,水島 大翔,消費者,上田市,長野県,日本,中部地方,事務用-紙-10003763,事務用品,紙,"サンディスク スケジュール帳, マルチカラー",15138.0,9,0.0,4680.0
1467,JP-2022-1729201,2022-12-25,2022-12-29,通常配送,中和-10105,中須賀 和也,消費者,北上市,岩手県,日本,東北地方,事務用-クリ-10001839,事務用品,クリップ,"Stockwell 輪ゴム, 12 パック",5605.2,9,0.4,-2350.8
1468,JP-2019-1080076,2019-10-06,2019-10-10,セカンド クラス,西大-10825,西坂 大和,大企業,出雲市,島根県,日本,中国地方,事務用-アプ-10003673,事務用品,アプライアンス,"クイジナート コーヒーミル, シルバー",18368.0,7,0.0,5683.999999999999
1469,JP-2019-1080076,2019-10-06,2019-10-10,セカンド クラス,西大-10825,西坂 大和,大企業,出雲市,島根県,日本,中国地方,家電-事務-10003732,家電,事務機器,"StarTech インクジェット, 赤",39856.00000000001,2,0.0,7572.0
1470,JP-2021-1357422,2021-09-07,2021-09-14,通常配送,門輝-10435,門松 輝,小規模事業所,新宿区,東京都,日本,関東地方,事務用-保管-10003294,事務用品,保管箱,"Tenex トレイ, 業務用",15495.499999999996,5,0.15,725.5000000000009
1471,JP-2021-1357422,2021-09-07,2021-09-14,通常配送,門輝-10435,門松 輝,小規模事業所,新宿区,東京都,日本,関東地方,家電-電話-10000220,家電,電話機,"ノキア オーディオ ドック, 各種サイズ",57660.600000000006,6,0.15,-9665.4
1472,JP-2022-1732004,2022-06-09,2022-06-11,ファースト クラス,和明-18685,和栗 明美,小規模事業所,新宿区,東京都,日本,関東地方,家具-椅子-10001202,家具,椅子,"Novimex スツール, 2 つセット",28340.699999999997,3,0.15,-2673.2999999999993
1473,JP-2022-1732305,2022-05-12,2022-05-15,ファースト クラス,脇千-13810,脇本 千代,大企業,高砂市,兵庫県,日本,関西地方,事務用-バイ-10001562,事務用品,バインダー,"アコ 穴あけパンチ, エコノミー",14056.000000000002,7,0.0,140.0
1474,JP-2022-1732305,2022-05-12,2022-05-15,ファースト クラス,脇千-13810,脇本 千代,大企業,高砂市,兵庫県,日本,関西地方,家電-電話-10001145,家電,電話機,"アップル スマートフォン, フル サイズ",16612.0,2,0.0,170.0
1475,JP-2022-1592300,2022-06-21,2022-06-23,セカンド クラス,向直-11590,向畑 直子,大企業,倉敷市,岡山県,日本,中国地方,家具-家具-10001170,家具,家具,"Deflect-O フレーム, プレミアム",21732.0,3,0.0,2604.0
1476,JP-2022-1592300,2022-06-21,2022-06-23,セカンド クラス,向直-11590,向畑 直子,大企業,倉敷市,岡山県,日本,中国地方,家電-コピ-10002840,家電,コピー機,"キヤノン ファックスとコピー機, 赤",12635.999999999998,1,0.0,5812.0
1477,JP-2022-1439547,2022-06-04,2022-06-09,通常配送,岩明-13540,岩本 明美,消費者,東村山郡中山町,山形県,日本,東北地方,事務用-文房-10002055,事務用品,文房具,"Elite 定規, スチール",4400.000000000001,5,0.0,425.0
1478,JP-2020-1735881,2020-08-15,2020-08-18,セカンド クラス,稲凛-18850,稲本 凛,消費者,青森市,青森県,日本,東北地方,事務用-紙-10002046,事務用品,紙,"ゼロックス スケジュール帳, 12 パック",4902.0,3,0.0,2352.0
1479,JP-2019-1736236,2019-05-21,2019-05-26,通常配送,川進-19615,川久保 進,消費者,下関市,山口県,日本,中国地方,事務用-クリ-10004567,事務用品,クリップ,"Stockwell ペーパー クリップ, 各種サイズ",1752.0,4,0.4,-1112.0
1480,JP-2021-1591311,2021-01-04,2021-01-08,通常配送,大翔-20320,大舘 翔太,小規模事業所,久留米市,福岡県,日本,九州,事務用-封筒-10004780,事務用品,封筒,"Kraft 茶封筒, シルバー",1925.9999999999998,1,0.0,903.9999999999999
1481,JP-2021-1390045,2021-08-25,2021-08-29,通常配送,辺翔-11950,辺見 翔太,消費者,堺市堺区,大阪府,日本,関西地方,家電-付属-10000039,家電,付属品,"エナーマックス マウス, リサイクル",2540.0,1,0.0,455.99999999999994
1482,JP-2021-1390045,2021-08-25,2021-08-29,通常配送,辺翔-11950,辺見 翔太,消費者,堺市堺区,大阪府,日本,関西地方,事務用-画材-10000282,事務用品,画材,"Stanley スケッチ帳, メタル",12184.0,4,0.0,2680.0
